DutyA,DutyB,DutyC
1.91,18.41,32.18
1.51,19.33,31.66
1.16,20.24,31.1
0.85,21.14,30.5
0.59,22.04,29.87
0.38,22.92,29.2
0.21,23.78,28.5
0.09,24.63,27.77
0.02,25.46,27.02
0.0,26.27,26.23
0.03,27.05,25.42
0.1,27.81,24.59
0.22,28.53,23.74
0.39,29.23,22.88
0.61,29.9,22.0
0.87,30.53,21.1
1.18,31.12,20.2
1.53,31.68,19.29
1.93,32.2,18.37
2.37,32.68,17.45
2.85,33.11,16.54
3.37,33.51,15.62
3.93,33.86,14.71
4.53,34.16,13.81
5.17,34.42,12.91
5.84,34.63,12.03
6.54,34.79,11.17
7.27,34.91,10.32
8.03,34.98,9.5
8.81,35.0,8.69
9.62,34.97,7.91
10.45,34.9,7.15
11.3,34.77,6.43
12.17,34.6,5.73
13.05,34.38,5.07
13.94,34.12,4.44
14.85,33.81,3.85
15.76,33.45,3.29
16.68,33.05,2.77
17.59,32.61,2.3
18.51,32.12,1.86
19.43,31.6,1.47
20.34,31.04,1.13
21.24,30.43,0.82
22.13,29.8,0.57
23.01,29.13,0.36
23.88,28.43,0.2
24.72,27.69,0.08
25.55,26.93,0.02
26.35,26.15,0.0
27.13,25.34,0.03
27.89,24.5,0.11
28.61,23.65,0.24
29.31,22.79,0.41
29.97,21.9,0.63
30.59,21.01,0.9
31.19,20.1,1.21
31.74,19.19,1.57
32.25,18.27,1.97
32.73,17.36,2.42
33.16,16.44,2.9
33.55,15.52,3.43
33.89,14.61,4.0
34.19,13.71,4.6
34.44,12.82,5.24
34.65,11.94,5.91
34.81,11.08,6.61
34.92,10.23,7.35
34.98,9.41,8.11
35.0,8.61,8.9
34.97,7.83,9.71
34.88,7.07,10.54
34.76,6.35,11.39
34.58,5.66,12.26
34.36,5.0,13.15
34.09,4.37,14.04
33.77,3.78,14.95
33.41,3.23,15.86
33.01,2.72,16.77
32.56,2.25,17.69
32.07,1.82,18.61
31.54,1.43,19.53
30.97,1.09,20.43
30.37,0.8,21.34
29.73,0.54,22.23
29.05,0.34,23.1
28.35,0.18,23.97
27.61,0.08,24.81
26.85,0.01,25.64
26.06,0.0,26.44
25.25,0.04,27.21
24.41,0.12,27.96
23.56,0.25,28.69
22.69,0.43,29.38
21.81,0.66,30.04
20.91,0.93,30.66
20.01,1.25,31.25
19.09,1.61,31.8
18.18,2.02,32.31
17.26,2.47,32.77
